iter	Passed	Remaining
583	6627	4721
584	6638	4709
585	6661	4706
586	6673	4695
587	6685	4684
588	6696	4672
589	6708	4661
590	6719	4650
591	6730	4638
592	6741	4627
593	6752	4615
594	6764	4604
595	6775	4592
596	6786	4581
597	6797	4569
598	6809	4558
599	6820	4547
600	6831	4535
601	6843	4524
602	6854	4512
603	6866	4501
604	6877	4490
605	6889	4479
606	6899	4467
607	6910	4455
608	6922	4444
609	6934	4433
610	6945	4421
611	6957	4410
612	6967	4399
613	6978	4387
614	6990	4375
615	7000	4364
616	7012	4352
617	7023	4341
618	7034	4329
619	7044	4317
620	7055	4306
621	7066	4294
622	7078	4283
623	7089	4271
624	7100	4260
625	7111	4248
626	7123	4237
627	7134	4226
628	7145	4214
629	7156	4203
630	7168	4191
631	7178	4180
632	7190	4169
633	7202	4157
634	7213	4146
635	7224	4134
636	7234	4122
637	7246	4111
638	7257	4100
639	7268	4088
640	7279	4076
641	7290	4065
642	7301	4054
643	7312	4042
644	7323	4031
645	7335	4019
646	7346	4008
647	7356	3996
648	7368	3985
649	7379	3973
650	7390	3962
651	7401	3950
652	7412	3938
653	7423	3927
654	7435	3916
655	7446	3905
656	7458	3893
657	7471	3883
658	7482	3871
659	7494	3860
660	7506	3849
661	7518	3838
662	7530	3827
663	7542	3816
664	7554	3805
665	7565	3794
666	7577	3783
667	7588	3771
668	7601	3760
669	7615	3750
670	7628	3740
671	7639	3729
672	7651	3717
673	7662	3706
674	7674	3695
675	7686	3683
676	7698	3673
677	7710	3661
678	7721	3650
679	7732	3638
680	7744	3627
681	7755	3616
682	7767	3604
683	7778	3593
684	7789	3582
685	7800	3570
686	7812	3559
687	7824	3548
688	7835	3536
689	7846	3525
690	7858	3514
691	7870	3502
692	7882	3492
693	7894	3480
694	7905	3469
695	7916	3457
696	7928	3446
697	7940	3435
698	7951	3424
699	7963	3412
700	7975	3401
701	7987	3390
702	7998	3379
703	8010	3367
704	8021	3356
705	8032	3344
706	8044	3333
707	8056	3322
708	8067	3311
709	8079	3300
